Parent,Reference,SiO2 ,Al2O3 ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,MnO ,FeO *,K2O+Na2O,Cr2O3 
12015,322,47.12,9.58,11.02,10.11,0.22,0.05,3.1,0.06,0.27,18.18,0.27,0.75
12015,322,47,9.26,11.44,10.02,0.22,0.05,2.9,0.06,0.27,18.2,0.27,0.68
14053,139,47.5,12.85,8.29,11.19,,,3,,,16.72,0,
14310,139,46.86,19.65,5.97,12.45,,,1.17,,,8.36,0,
14053,140,46.3,13.7,8.54,11.2,0.44,0.11,2.79,0.11,,17,0.55,0.37
14072,140,45.2,11.1,12.2,9.84,0.32,0.08,2.57,0.08,,17.8,0.4,0.51
14321,140,46.8,13.8,6.3,11.6,0.8,0.25,2.33,0.25,,15.9,1.05,
14053,140,46.4,13.6,8.48,11.2,,0.1,2.64,0.09,0.26,16.8,0.1,
14310,140,47.2,20.1,7.87,12.3,0.63,0.49,1.24,0.34,0.11,8.38,1.12,0.18
14073,142,,20,,13,0.76,0.48,1.2,,0.12,8.9,1.24,0.196
14073,142,,20.8,,12.8,0.737,0.49,1.3,,0.108,8.2,1.227,0.15
14310,143,47.81,21.54,7.48,12.92,0.68,0.48,1.11,0.43,0.1,7.62,1.16,0.25
14276,143,47.6,21.34,7.1,13.18,0.72,0.48,1.2,0.4,0.12,7.94,1.2,0.26
14310,144,47.07,20.03,7.88,12.28,0.634,0.494,1.23,,,8.375,1.128,
14072,144,45.15,11.07,8.59,9.84,0.324,0.08,2.56,,,17.88,0.404,
14072,144,45.15,11.07,8.59,,,0.08,2.56,,,17.88,0.08,
14321,145,47.71,12.28,11.28,10.35,,,1.79,,,16.47,0,
14321,145,47.5,12.09,8.96,11.33,,,1.8,,,15.82,0,
14310,146,47.16,20.35,7.83,12.43,0.72,0.485,1.25,0.385,0.113,8.31,1.205,0.17
14053,146,46.08,12.54,8.97,11.07,0.44,0.097,2.91,0.114,0.255,16.97,0.537,0.42
14310,148,48.3,20.74,8,11.61,0.76,0.52,1.25,0.38,0.11,7.78,1.28,0.17
14004,151,,12,6.9,10.4,0.412,0.061,5.4,,0.237,18.4,0.473,0.232
14160,151,,13.3,8.4,11.1,0.544,0.079,2.5,,0.213,14.8,0.623,0.235
14256,151,,13.1,7.8,11.9,0.38,0.06,2.6,,0.238,16.5,0.44,0.332
14305,152,39.9,4,22,6.5,0.16,0.04,3.6,,,22.4,0.2,1.2
14321,153,,12.5,8.8,11.5,0.6,0.14,2.3,,0.234,16.7,0.74,0.42
14321,153,,12.5,8.2,11,0.56,0.14,2.2,,0.224,16.3,0.7,0.39
14321,153,,12.4,9.1,10.6,0.56,0.15,2.3,,0.23,16.6,0.71,0.38
14321,153,,12.3,7.8,11.6,0.58,0.17,2.3,,0.224,17.1,0.75,0.41
14321,153,,11.4,7.5,10.2,0.58,0.15,2,,0.217,15.5,0.73,0.36
14321,153,,12.4,8.5,11.4,0.6,0.16,2.3,,0.221,15.1,0.76,0.37
14321,153,,13.2,7.4,11.3,0.55,0.14,2.2,,0.205,15.3,0.69,0.37
14321,153,,13,7.4,11.4,0.61,0.15,2.3,,0.228,17,0.76,0.41
14321,153,,12.4,6.9,10.8,0.61,0.16,2.3,,0.239,17.4,0.77,0.35
14321,153,,13.2,7.2,11.4,0.62,,2.2,,0.223,16.7,0.62,0.37
14321,153,,12.7,8.2,12.3,0.61,0.16,2.4,,0.218,15.4,0.77,0.36
14321,153,,12.3,7.6,11,0.63,0.17,2.1,,0.234,16.1,0.8,0.34
14321,153,,12.7,7.4,11.2,0.64,0.17,2.2,,0.222,17.6,0.81,0.4
14321,153,,12.9,7.3,11,0.63,0.2,2.1,,0.222,15.4,0.83,0.34
14321,153,,13.9,8.7,11.6,0.56,0.15,2.3,,0.208,14.1,0.71,0.32
14321,153,,11.8,10.6,9.9,0.48,0.13,1.8,,0.238,17.3,0.61,0.57
14321,153,,12.5,9.2,11,0.49,0.12,1.9,,0.232,16.4,0.61,0.46
14321,153,,11.8,10.9,10.1,0.52,0.14,1.8,,0.239,19.3,0.66,0.53
14321,153,,12.1,10.2,11.2,0.54,0.16,2.1,,0.241,16.9,0.7,0.44
14321,153,,11.1,8.7,9.8,0.51,0.12,2,,0.218,16.6,0.63,0.45
14321,153,,12.1,10,10.9,0.5,0.13,2.1,,0.238,16.9,0.63,0.47
14321,153,,12,9.1,10.3,0.52,0.19,2.1,,0.231,17,0.71,0.46
14321,153,,12.4,8.6,11.1,0.52,0.13,2.2,,0.224,16.9,0.65,0.44
14321,153,,12.5,9,11.3,0.53,0.14,2,,0.233,18,0.67,0.45
14321,153,,12.7,9.6,11.3,0.48,0.11,2.1,,0.219,16.1,0.59,0.34
14321,153,,13.1,9.4,11.3,0.56,0.13,2.1,,0.223,17.2,0.69,0.59
14321,153,,12.6,9.2,11.8,0.49,0.16,2.2,,0.229,16.6,0.65,0.43
14321,153,,12.5,8.7,11,0.5,0.12,2,,0.235,15.7,0.62,0.38
14321,153,,12.6,8.7,11.4,0.51,0.11,2.1,,0.238,16.1,0.62,0.41
14321,153,,12.4,8.7,11.1,0.53,0.14,2,,0.211,15.3,0.67,0.41
14321,153,,12,9.1,10.7,0.42,0.09,2.7,,0.228,15.5,0.51,0.44
14321,153,,12.1,10.8,11.3,0.635,0.06,2,,0.225,17,0.695,0.44
14321,153,,11.9,11.2,10.3,0.4,0.08,2.5,,0.241,17.3,0.48,0.51
14321,153,,11.6,10.9,10.2,0.41,0.07,2.7,,0.247,18.2,0.48,0.52
14321,153,,11.8,11,11,0.45,0.08,2.9,,0.24,17.3,0.53,0.46
14321,153,,12,8.9,11.1,0.32,0.04,2.2,,0.248,16.9,0.36,0.41
14321,154,45.5,13.4,10.8,10.9,0.516,0.14,2.57,,0.239,15.9,0.656,
14321,154,48.4,11.8,10.6,9.9,0.462,0.25,2.59,,0.226,15.8,0.712,
14321,154,46.5,11.6,11.9,10,0.518,0.14,2.42,,0.244,16.67,0.658,
14321,154,47.1,12,9.9,10.2,0.602,0.3,2.77,,0.23,15.89,0.902,
14321,154,47.1,11.8,10.3,10.2,0.442,0.15,2.39,,0.25,17.4,0.592,
14321,154,45.4,12.4,10.7,10.6,0.859,0.16,2.49,,0.248,17.1,1.019,
14321,154,46.8,12.8,10.1,10.3,0.737,0.1,2.46,,0.254,16.4,0.837,
14321,154,43.1,10.65,13.6,9.7,0.406,0.22,3.94,,0.268,18.15,0.626,
14321,154,46.6,11.9,9.9,10.2,0.527,,3.33,,0.251,17.25,0.527,
14321,154,43.5,11.3,13.9,9.2,0.435,0.068,2.92,,0.255,18.4,0.503,
14321,154,45.1,9,6.47,9,0.294,0.5,6.49,,0.311,22.8,0.794,
14305,154,43.5,12.4,10.7,10.1,0.53,0.072,4.9,,,17.2,0.602,
14321,155,48.7,11.5,10.7,9.9,0.43,,1.28,,,17.1,0.43,
14321,155,49.3,14.5,7,11.7,0.52,0.22,1.91,,,14.8,0.74,
14321,155,48.1,12.1,10.2,10.6,0.5,0.1,1.96,,0.2,17,0.6,
14321,155,47.9,12.4,9.6,10.4,0.45,0.16,2.72,,,16.1,0.61,
14321,155,48,12,9.6,10.7,0.65,0.29,2.06,,0.25,16,0.94,
14321,155,48.9,11.5,9.49,10.4,0.53,0.19,2.18,,0.16,15.9,0.72,
14321,155,48.3,12.3,8.91,12,0.49,0.2,2.07,,0.16,15.3,0.69,
14321,155,50.1,13.1,9.2,10.8,0.3,,1.66,,,14.4,0.3,
14321,155,49.4,12.7,8.05,11,0.58,0.23,2.14,,0.25,16,0.81,
14321,155,46.3,13.1,9.2,13.3,0.46,,2.9,,,15.7,0.46,
14321,155,47.1,13.4,8.1,12.5,0.46,,2.22,,,15.3,0.46,
14321,155,48.1,12.5,8.4,10.7,0.55,,2.85,,,16.5,0.55,
14321,155,49.4,12.2,8.6,10.5,0.65,0.16,2.19,,0.16,16,0.81,
14321,155,46,11.3,11,10.6,0.48,0.03,2.72,,0.23,17.9,0.51,
14321,155,50.2,11.4,8.8,10.1,0.48,0.14,2.16,,0.21,16.7,0.62,
14321,155,49,11.6,9.37,10.6,0.51,0.13,2.23,,0.24,16.1,0.64,
14321,155,48.1,12.1,8.48,10.9,0.49,0.05,2.65,,0.33,16.4,0.54,
14321,155,48.9,10.9,9.28,10.4,0.51,0.11,1.88,,0.24,16.9,0.62,
14321,155,47.6,13.1,8.89,11.3,0.27,0.05,2.22,,0.4,15.9,0.32,
14321,155,48,12.6,8.78,10.8,0.47,0.14,2.07,,0.22,15.9,0.61,
14321,155,46.7,11.6,10.7,10.3,0.41,0.03,2.64,,0.36,17.2,0.44,
14321,155,47.4,11.5,9.56,10.5,0.45,0.09,2.61,,0.33,16.6,0.54,
14150,156,47.2,19.2,8.45,12.1,,0.46,1.27,,0.11,9.02,0.46,0.17
14150,156,47.2,19.8,7.6,12.4,,0.51,1.32,,0.1,8.49,0.51,0.16
14078,156,47.3,20.3,7.42,12.7,0.75,0.5,1.34,0.47,0.11,8.78,1.25,0.16
14321,157,46.9,14,8.6,11.2,0.52,0.17,2.1,,0.21,15.9,0.69,
14321,157,45.8,13.2,8.7,10.3,0.51,0.14,1.89,,0.24,17.7,0.65,
14321,157,47.1,14.2,7.9,10.1,0.59,0.16,2.26,,0.23,17.1,0.75,
14321,157,46.8,13.3,11.1,10.1,0.46,0.13,1.75,,0.22,15.6,0.59,
14321,157,45.5,13.8,9.8,10.9,0.3,0.06,2.03,,0.23,16.9,0.36,
14321,157,49.4,12.8,7.9,10.9,0.54,0.16,2.41,,0.23,15.3,0.7,
14321,157,46.6,14,10.8,10.3,0.58,0.19,1.82,,0.22,16.6,0.77,
14321,157,45.5,13.7,10.6,11,0.6,0.18,2.03,,0.22,16.6,0.78,
14321,157,48.2,11.7,8.9,9.61,0.4,0.07,2.67,,0.22,16.4,0.47,
14321,157,49.4,13.8,7.4,11.6,0.51,0.16,2.65,,0.21,14,0.67,
14321,157,44.3,11.8,10.6,8.8,0.22,0.04,3.25,,0.25,20.2,0.26,
14321,157,46.6,13,10.1,10.7,0.47,0.11,2.09,,0.22,16.3,0.58,
14321,157,46.3,13.8,9,10.9,0.55,0.13,2.114,,0.23,16.6,0.68,
14321,157,49.3,12.8,8.8,10.5,0.5,0.12,2.21,,0.22,15.1,0.62,
14321,157,48.9,13.7,9.1,10.3,0.6,0.36,2.41,,0.19,14.2,0.96,
14321,157,48.5,11.7,10.8,10.2,0.25,0.06,19.8,,0.24,15.8,0.31,
14321,157,44.7,11.9,11.5,10.7,0.42,0.15,2.47,,0.25,17.5,0.57,
14321,157,42.8,11.1,12.1,10.1,0.46,0.07,2.56,,0.24,20.1,0.53,
14321,157,48,12.5,9.3,10.5,0.6,0.15,2.35,,0.23,16,0.75,
14321,157,43.7,14.7,9,12.1,0.46,0.08,2.44,,0.21,16.9,0.54,
14321,157,46.3,12.9,7.8,11.5,0.62,0.14,2.41,,0.24,17.7,0.76,
14321,157,48.7,13.6,8.5,10.6,0.34,0.06,2.02,,0.22,15.3,0.4,
14321,157,46.4,12.4,9.6,9.22,0.39,0.08,2.83,,0.25,18.3,0.47,
14321,157,44.7,13,11.8,10.5,0.26,0.06,1.87,,0.23,17.1,0.32,
14321,157,44.4,14,10.9,9.79,0.39,0.05,2.49,,0.23,17.2,0.44,
14321,157,47.7,13.3,8.9,10.5,0.59,0.15,2.05,,0.22,16.2,0.74,
14063,158,45.9,14.4,6.7,11.3,1,0.1,7.3,,,10.7,1.1,0.2
14303,157,46,13.6,10.8,11.6,0.28,0.46,1.55,0.04,0.23,15.1,0.74,
14304,157,49,16,9.56,10.8,0.6,0.96,1.83,0.35,0.15,10.6,1.56,
14304,157,52.1,15.1,10.4,9.06,0.6,1.07,1.07,0.07,0.15,10.2,1.67,
14304,157,46.6,12,9.8,11,0.51,1.22,2.22,,0.28,15.8,1.73,
14304,157,47.4,14.2,10,9.7,0.4,0.35,1.5,,0.21,15.8,0.75,
14304,157,48.3,15.1,7.9,11.7,0.56,1.11,2.27,,0.16,12.6,1.67,
14304,157,46.3,11.9,7.2,10,0.71,1.71,5.94,,0.17,15.8,2.42,
14303,159,48.7,18.2,8.27,12.3,0.45,0.75,1.61,,,9.55,1.2,
14303,159,48.9,13.4,9.68,10.4,0.55,1.05,1.7,,,13.6,1.6,
14303,159,,,,10.5,0.49,1.3,,,,16.8,1.79,
14303,159,,,,11,0.72,1.1,,,,9.9,1.82,
14303,159,,,,9.9,0.64,0.86,,,,12.9,1.5,
14305,160,43.8,9.9,15,9,0.34,0.62,2.4,,0.23,18.1,0.96,0.58
14305,160,45.5,12.5,9.3,11,0.53,1.25,1.7,,0.22,17.2,1.78,0.765
14305,160,49.1,13.4,7.7,12.1,0.58,1.4,1.9,,0.2,13.1,1.98,0.525
14305,160,42.1,11.3,10.3,11.2,0.34,0.56,5.1,,0.23,18.4,0.9,0.46
14305,160,45.3,13,9.9,11.6,0.41,0.8,2.2,,0.2,16,1.21,0.593
14168,151,,12.4,11,9.9,0.37,0.57,1.7,,0.215,15.5,0.94,0.544
14181,92,45.8,13.8,10.1,11.3,0.43,0.655,1.95,,0.232,15.6,1.085,0.45
14304,162,,,,9.1,0.28,0.326,,,0.248,17.3,0.606,
14304,162,,,,9.7,0.24,0.334,,,0.263,17.9,0.574,
14053,177,48.35,12.09,8.29,11.89,0.38,0.14,1.5,,0.28,16.21,0.521986096,0.44
14310,177,50.28,20.03,7.96,10.91,0.63,0.53,1.33,,0.14,7.72,1.163574945,0.16
14163,181,48.3,17.5,9.32,11.1,0.73,0.61,1.82,,0.14,10.3,1.34,
14310,181,48.3,20,8.49,12.54,0.68,0.5,1.25,,0.12,8.49,1.18,
14276,187,47.63,21.34,7.1,13.18,0.72,0.48,1.2,0.4,0.12,7.94,1.2,0.26
14310,187,47.2,20.1,7.87,12.3,0.63,0.49,1.24,0.34,0.11,8.38,1.12,0.18
14321,243,,11.96,,,0.538,0.133,2.02,,0.221,16.34,0.670349369,
14321,243,,13.81,,,0.608,0.176,2.37,,0.221,16.08,0.783809922,
14321,243,,14.61,,,0.546,0.157,2.14,,0.217,16.21,0.702529305,
14321,243,,12.91,,,0.557,0.136,2.02,,0.223,16.6,0.692834863,
14321,243,,12.07,,,0.528,0.117,2.25,,0.241,16.72,0.644579692,
14321,243,,12.17,,,0.407,0,2.57,,0.239,16.08,0.407089169,
14321,243,,11.45,,,0.518,0.179,2.24,,0.232,16.34,0.697109248,
14321,243,,13.85,,,0.648,0.152,2.9,,0.226,16.72,0.800157172,
14321,243,,12.11,,,0.535,0.21,2.24,,0.232,16.47,0.744748043,
14321,243,,12.89,,,0.57,0.118,2.42,,0.236,18.01,0.688245583,
14321,243,,11.53,,,0.481,0.128,2.09,,0.232,16.6,0.608915905,
14321,243,,11.94,,,0.607,0.163,2.25,,0.245,17.24,0.769211305,
14321,243,,12.36,,,0.555,0.287,2.04,,0.245,17.24,0.842062333,
14321,243,,12.36,,,0.534,0.124,2.1,,0.254,16.72,0.657873212,
14321,243,,13.7,,,0.531,0.261,2.92,,0.223,16.08,0.792502065,
14321,247,46.82,13.81,6.3,11.57,0.8,0.25,2.33,,0.26,15.92,1.05,0.32
14321,247,48.06,11.91,9.42,10.87,0.64,0.18,2.42,,,15.31,0.82,0.21
14310,249,48.27,20.26,7.76,12.25,0.81,0.55,1.27,,,8.11,1.36,0.2
14072,249,44.94,11.31,12.21,9.63,0.38,0.11,2.56,,,17.07,0.49,0.52
14078,292,47.3,20.3,7.42,12.7,0.75,0.51,1.34,0.47,0.11,8.78,1.26,0.16
14310,292,47.6,20.7,7.8,12.3,0.69,0.5,1.2,0.4,0.11,8.1,1.19,0.19
14073,292,,20.4,,12.9,0.75,0.49,1.25,,0.11,8.5,1.24,0.17
14152,292,,21.3,6.4,13.3,0.79,0.49,1.17,,,7.5,1.28,
14276,292,47.6,21.7,7.86,13.24,0.71,0.46,1.15,0.4,0.11,7.9,1.17,0.24
14053,53,46.18,12.84,8.59,11.18,0.44,0.11,2.94,0.13,0.26,17.09,0.55,0.37
14072,53,45.15,11.07,12.16,9.84,0.32,0.08,2.57,0.08,0.27,17.82,0.4,0.51
14310,53,47.57,20.7,7.59,12.54,0.73,0.49,1.24,0.41,0.12,8.22,1.22,0.15
14321,317,45.6,14.3,7.57,11.2,0.67,0.17,1.4,,0.2,14.7,0.84,0.38
14305,326,39.9,4,22,6.5,0.16,0.045,3.6,,0.25,22.4,0.205,1.2
14305,326,40.2,4.9,21.8,5.1,0.2,0.01,4.3,,0.28,22.3,0.21,1.1
14305,326,43.8,9.9,15,9,0.34,0.62,2.4,,0.23,18.1,0.96,0.58
14004,328,,12,6.9,10.4,0.412,0.061,5.4,,0.237,18.4,0.473,0.232
14160,328,,13.3,8.4,11.1,0.544,0.079,2.5,,0.213,14.8,0.623,0.235
14168,328,,12.4,11,9.9,0.366,0.57,1.7,,0.215,15.5,0.936,0.544
14256,328,,13.1,7.8,11.9,0.376,0.055,2.6,,0.238,16.5,0.431,0.332
14004,328,,13.8,13.7,8.7,0.869,0.95,1.4,,0.112,10,1.819,0.174
14004,328,,18.3,7.1,10.3,0.669,0.46,1.1,,0.089,7.5,1.129,0.125
14145,328,,21.2,8.4,13,0.703,0.44,1.3,,0.096,7.7,1.143,0.14
14150,328,,19.2,7.6,12.1,0.737,0.5,1.3,,0.102,8.3,1.237,0.154
14150,328,,20.6,6.4,11,0.742,0.47,1.2,,0.094,7.6,1.212,0.142
14160,328,,20.9,7,11.6,0.726,0.48,1.1,,0.091,7.2,1.206,0.13
14004,385,45,20.9,9.2,12.7,0.79,0.67,1.45,,0.113,8.8,1.46,
14155,385,48,21,9,11.3,0.72,0.58,1.34,,0.107,8.4,1.3,
14155,385,46,15.6,14.8,9.4,0.94,0.64,1.91,,0.125,10.5,1.58,
14160,385,52,19.2,5.9,11.9,0.66,0.5,1.46,,0.111,7.8,1.16,
14160,385,50,21.1,5.8,12.9,0.68,0.6,1.32,,0.104,7.4,1.28,
14160,385,44,22.2,8.3,14.3,0.75,0.6,1.46,,0.124,8.6,1.35,
14261,385,47,22.2,7.8,13.4,0.77,0.51,0.91,,0.101,7.6,1.28,
15274,169,46.9,7.3,15,6.7,0.22,,1.39,0.09,0.32,21.1,0.22,
15387,169,45.3,5.8,17.4,6.4,0.16,,1.67,0.11,0.29,22.7,0.16,
15387,169,47.6,5.5,16.9,6.2,0.12,,1.44,0.08,0.25,21.3,0.12,
15388,169,44.2,11.1,8,10.2,0.32,,5.91,0.06,0.35,19.1,0.32,
15620,169,45.8,9.2,11.3,9.2,0.23,,1.95,0.12,0.35,21.5,0.23,
15623,169,45.4,8.2,11.6,9.6,0.28,,2.27,0.13,0.37,22.5,0.28,
15633,169,44.6,8.5,10.5,9.1,0.23,,2.7,0.11,0.35,23,0.23,
15641,169,46.5,9.3,11.1,9.9,0.34,,1.9,0.09,0.38,21.2,0.34,
15643,169,45.8,8.8,11.5,9.4,0.29,,1.98,0.11,0.35,22.2,0.29,
15651,169,46.8,9.9,10.3,10.3,0.33,,2.04,0.11,0.37,20.3,0.33,
15663,169,45.8,8.3,10.8,9.1,0.23,,2.05,0.1,0.34,21.8,0.23,
15663,169,,,,,0.25,,,,,22.3,0.25,
15668,169,46.7,9.1,8.9,9.9,0.25,,2.37,0.12,0.38,21.9,0.25,
15672,169,45.7,8.9,11.7,8.9,0.26,,2,0.12,0.28,21.6,0.26,
15475,94,48.32,9.59,8.72,10.77,0.31,0.05,1.77,0.06,0.3,19.53,0.36,0.61
15499,94,47.89,9.19,9.11,10.41,0.38,0.06,1.81,0.08,0.3,20.47,0.44,0.52
15595,94,48.07,9.06,9.21,10.52,0.35,0.05,1.77,0.07,0.3,20.23,0.4,0.52
15597,94,47.98,9.44,8.74,10.43,0.32,0.06,1.8,0.07,0.3,20.23,0.38,0.48
15016,94,44.26,8.52,10.84,9.43,0.32,0.05,2.29,0.08,0.31,22.93,0.37,0.8
15119,94,45.23,9.24,8.93,10.55,0.3,0.05,2.64,0.09,0.31,22.25,0.35,0.47
15545,94,44.89,8.71,10.08,9.95,0.45,0.04,2.49,0.07,0.31,22.43,0.49,0.54
15555,94,44.75,9.01,11.39,9.62,0.27,0.04,2.05,0.06,0.3,21.68,0.31,0.58
15555,94,43.82,7.45,10.96,9.22,0.24,0.04,2.63,0.07,0.32,24.58,0.28,0.59
15622,94,43.98,8.46,11.64,9.19,0.29,0.05,2.29,0.08,0.31,22.73,0.34,0.81
15636,94,44.58,8.55,11.32,9.58,0.26,0.04,2.22,0.07,0.31,22.67,0.3,0.56
15658,94,45.09,9.02,9.73,10.11,0.28,0.04,2.5,0.07,0.31,22.59,0.32,0.53
15668,94,45.01,8.73,9.96,10.16,0.28,0.04,2.53,0.07,0.31,22.58,0.32,0.54
15674,94,45.04,8.95,9.36,10.15,0.28,0.05,2.58,0.08,0.31,22.78,0.33,0.47
15498,170,48.8,9.64,9.27,10.58,0.24,0.04,1.82,0.06,0.22,18.75,0.28,0.51
15498,170,47.89,9.14,9.25,10.34,0.23,0.04,2.35,0.05,0.24,20.19,0.27,0.48
15498,170,47.62,9.66,9.48,10.27,0.216,0.04,1.95,0.06,0.3,19.76,0.256,0.55
15498,170,48.03,9.68,9.09,10.44,0.23,0.04,1.95,0.06,0.25,19.06,0.27,0.6
15498,170,47.52,9.82,9.42,10.26,0.25,0.05,2.14,0.06,0.3,19.98,0.3,0.56
15498,170,48.06,10.67,8.12,10.78,0.37,0.04,2.17,0.08,0.23,18.96,0.41,0.54
15498,170,47.86,10.07,8.43,10.82,0.26,0.04,2,0.06,0.26,19.09,0.3,0.59
15498,170,47.74,10.27,8.04,11.01,0.24,0.02,2.14,0.09,0.26,19.43,0.26,0.47
15498,170,48.09,10.37,8.56,10.68,0.25,0.04,1.93,0.05,0.24,18.96,0.29,0.58
15498,170,47.67,10.2,8.56,11.32,0.27,0.05,1.59,0.05,0.28,18.99,0.32,0.36
15498,170,46.82,10.35,7.92,10.88,0.26,0.04,2.06,0.06,0.26,20.27,0.3,0.39
15498,170,46.59,11.62,5.95,11.8,0.37,0.03,2.17,0.03,0.22,20.55,0.4,0.25
15498,170,47.18,11.03,6.98,11.24,0.26,0.05,2.22,0.06,0.26,20,0.31,0.33
15498,170,47.49,13,4.61,11.52,0.31,0.04,2.48,0.1,0.22,19.67,0.35,0.16
15498,170,46.88,12.71,4.92,11.56,0.27,0.05,2.63,0.06,0.26,21,0.32,0.16
15498,170,43.07,4.42,24.1,6.84,0.1,0.01,0.53,0.06,0.26,19.67,0.11,0.98
15498,170,44.44,7.76,16.41,7.84,0.18,0.03,1.5,0.07,0.22,20.77,0.21,0.95
15498,170,44.71,8.13,13.63,8.92,0.2,0.03,1.49,0.04,0.24,20.83,0.23,0.91
15498,170,45.14,9.37,9.31,10.67,0.25,0.03,2.25,0.08,0.24,20.13,0.28,0.56
15498,170,44.54,7.75,11.65,9.2,0.2,0.03,2.46,0.03,0.26,23.44,0.23,0.71
15498,170,45.83,8.7,7.87,11.47,0.24,0.04,2.28,0.05,0.28,21.57,0.28,0.32
15498,170,45.19,7.96,9.49,9.93,0.26,0.03,2.47,0.05,0.3,23.26,0.29,0.54
15498,170,46.98,8.25,12.74,8.91,0.21,0.03,1.65,0.04,0.26,19.71,0.24,0.9
15498,170,47.7,8.35,11.83,9.15,0.19,0.03,1.9,0.06,0.22,19.75,0.22,0.77
15498,170,47.39,9.01,9.73,10.3,0.23,0.03,1.73,0.05,0.28,20.19,0.26,0.54
15434,171,56.9,6.4,4.7,8.3,0.56,2.17,1.13,1.33,0.28,17.8,2.73,0.17
15434,171,56,9.8,5.5,10.5,0.66,0.72,1.11,0.29,0.27,14.7,1.38,0.27
15434,171,56.2,9.8,5,10.1,0.71,0.53,0.93,0.25,0.27,14.2,1.24,
15434,171,51.6,16.4,9.2,9.8,0.8,0.55,1.92,0.47,0.14,10,1.35,0.31
15115,172,,9.6,8,10,0.306,0.055,1.8,,0.275,20,0.361,0.446
15661,172,,8.7,12,8.6,0.25,0.036,1.9,,0.257,21.9,0.286,0.653
15669,172,,9.3,10,11.3,0.267,0.04,2.4,,0.268,22.3,0.307,0.536
15675,172,,9,10,9.1,0.262,0.044,2.2,,0.259,21.4,0.306,0.492
15677,172,,8.8,12,8.4,0.251,0.04,2,,0.264,22.5,0.291,0.599
15605,172,,9.1,11,10.1,0.257,0.051,2.1,,0.268,22.3,0.308,0.606
15612,172,,8.5,12,9.2,0.244,0.037,2.2,,0.26,22.2,0.281,0.803
15614,172,,8.8,11,8.9,0.25,0.034,2,,0.267,21.3,0.284,0.684
15616,172,,8.7,12,8.3,0.238,0.043,2,,0.264,21.8,0.281,0.91
15617,172,,8.8,12,8.5,0.256,0.041,2.1,,0.268,21.8,0.297,0.722
15623,172,,8.6,13,9.2,0.241,0.043,2,,0.266,23.2,0.284,0.854
15630,172,,8.9,11,8.8,0.252,0.044,2,,0.268,20.8,0.296,0.782
15634,172,,9.8,13,9.1,0.269,0.02,1.5,,0.249,19.9,0.289,0.637
15639,172,,9.4,12,8.9,0.28,0.038,1.8,,0.264,21.9,0.318,0.605
15641,172,,8.8,12,9.2,0.252,0.034,1.9,,0.268,21.9,0.286,0.6
15649,172,,9.1,12,9.1,0.255,0.042,2.2,,0.26,21.7,0.297,0.524
15662,172,,9.5,10,9.4,0.271,0.04,2.3,,0.273,22.5,0.311,0.647
15664,172,,8.5,13,9.2,0.238,0.04,2.1,,0.276,22.6,0.278,0.634
15671,172,,8.7,12,8.5,0.251,0.038,2,,0.264,21.6,0.289,0.654
15673,172,,8.7,12,8.8,0.254,0.046,1.9,,0.257,20.7,0.3,0.616
15648,172,,9.9,11,9.7,0.284,0.041,2.2,,0.258,20.1,0.325,0.508
15556,93,45.11,9.43,7.73,10.83,0.26,0.03,2.76,0.08,0.29,22.25,0.29,
15256,93,44.93,8.89,9.08,10.27,0.28,0.03,2.54,0.06,0.29,22.21,0.31,
15256,93,45.12,8.95,9.32,10.14,0.25,0.04,2.51,0.07,0.32,22.52,0.29,
15668,93,45.48,9.09,9.19,10.23,0.26,0.05,2.56,0.08,0.31,22.22,0.31,
15545,93,45.02,8.77,10.36,9.89,0.21,0.03,2.33,0.05,0.3,22.02,0.24,
15016,93,43.97,8.43,11.14,9.4,0.21,0.03,2.31,0.07,0.33,22.58,0.24,
15555,93,44.24,8.48,11.19,9.45,0.24,0.03,2.26,0.06,0.29,22.47,0.27,
15475,93,47.82,9.52,8.28,10.65,0.24,0.04,1.96,0.07,0.29,19.95,0.28,
15499,93,47.62,9.27,8.94,10.4,0.29,0.06,1.81,0.08,0.28,20.26,0.35,
15058,93,47.81,8.87,9.01,10.32,0.28,0.03,1.77,0.08,0.28,19.97,0.31,
15076,93,48.8,9.3,9.46,10.82,0.26,0.03,1.46,0.03,0.27,18.62,0.29,
15076,93,48.06,9.63,7.8,10.74,0.29,0.05,2.01,0.08,0.29,20.22,0.34,0.31
15118,93,47.16,10.72,6.49,11.65,0.32,0.06,2.05,0.1,0.28,20.39,0.38,
15385,93,40.72,4.81,17.66,6.48,0.15,0.06,2.68,0.08,0.32,25.27,0.21,
15386,93,50.83,14.77,8.17,9.71,0.73,0.67,2.23,0.7,0.16,10.55,1.4,
15256,96,44.9,8.97,9.82,9.87,0.274,0.045,2.46,0.067,0.282,21.85,0.319,
15668,96,44.6,8.81,10.13,9.71,0.234,0.043,2.43,0.064,0.281,22.32,0.277,
15675,96,44.7,9.19,9.28,9.94,0.243,0.046,2.55,0.07,0.283,22.3,0.289,
15676,96,44.7,9.16,9.51,9.93,0.248,0.044,2.55,0.064,0.283,22.32,0.292,
15674,96,44.6,9.17,9.45,9.97,0.243,0.044,2.54,0.067,0.283,22.28,0.287,
