Parent,Reference,SiO2 ,Al2O3 ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,MnO ,FeO *,K2O+Na2O,Cr2O3 
10072,175,45,9,8,9.5,0.6,0.2,10,,0.36,17,0.8,0.69
10057,175,36,11,9.5,10,0.54,0.18,12.5,,0.49,20,0.72,0.95
10020,175,38,11,8,10,0.59,0.064,12,,0.32,18,0.654,0.31
10017,175,40,10,8.5,10,0.65,0.22,11,,0.35,19,0.87,0.67
10058,175,43,13,6.5,10.5,0.56,0.11,9,,0.55,17,0.67,0.54
10045,175,42,13,7,10,0.51,0.1,8,,0.27,18,0.61,0.51
10050,175,38,11,10,10,0.51,0.064,9,,0.5,20,0.574,0.7
10017,213,,7.9,7.9,9.7,0.49,0.25,11.1,,0.22,18.8,0.74,0.33
10022,213,,8.2,8.3,10,0.49,0.28,11.9,,0.23,19.4,0.77,0.34
10024,213,,7.8,9,10.1,0.49,0.28,12.6,,0.23,19.5,0.77,0.37
10057,213,,12.1,8.7,11.7,0.46,0.18,8.2,,0.21,16.3,0.64,0.3
10069,213,,7.9,8.8,10.4,0.47,0.29,12.3,,0.23,19.1,0.76,0.35
10072,213,,7.9,8.2,10.8,0.49,0.28,11.8,,0.22,18.9,0.77,0.34
10020,213,,9.8,8.7,10.9,0.35,0.06,11.2,,0.26,18.7,0.41,0.38
10045,213,,9.7,9.8,10,0.35,0.05,11.4,,0.27,20.4,0.4,0.39
10092,213,,10.4,8.6,11.2,0.33,0.06,10.9,,0.26,18.3,0.39,0.4
10044,213,,10.4,5.8,11.5,0.44,0.11,8.8,,0.27,18.5,0.55,0.19
10047,213,,11.5,6.6,12.8,0.49,0.13,6.9,,0.27,17.7,0.62,0.15
10058,213,,10.4,8.6,12.1,0.4,0.09,9.9,,0.26,17.9,0.49,0.21
10050,213,,10.4,8.3,12.3,0.39,0.07,10.8,,0.25,17.9,0.46,0.32
10044,242,42.21,10.35,5.95,12.08,0.5,0.03,10.25,0.04,0.27,17.88,0.53,0.24
10047,242,42.51,10.54,5.51,11.82,0.48,0.02,9.21,0.13,0.26,19.31,0.5,0.23
10058,242,40.24,10.34,5.8,12.18,0.42,0.06,10.6,0.16,0.29,19.6,0.48,0.22
10003,242,39.7,10.23,7.6,11.06,0.42,0.03,10.46,0.1,0.26,19.92,0.45,0.23
10029,242,37.89,10.32,7.53,10.47,0.39,0.03,12.15,0.09,0.23,20.49,0.42,0.27
10020,242,40.47,9.73,7.97,12.04,0.37,0.04,10.61,0.07,0.25,18.29,0.41,0.38
10045,242,39.83,10.03,7.67,11.13,0.44,0.04,11.02,0.03,0.28,19.27,0.48,0.41
10092,242,38.05,9.66,8.9,11.38,0.33,0.02,12.74,0.03,0.23,18.38,0.35,0.44
10050,242,40.05,10.49,7.9,11.67,0.36,0.04,11.12,0.02,0.28,17.83,0.4,0.34
10062,242,40.23,11.21,6.81,11.91,0.5,0.06,10.57,0.1,0.23,18.04,0.56,0.31
10024,242,40,7.2,8.74,10.1,0.43,0.41,12.93,0.1,0.23,19.09,0.84,0.41
10032,242,39.49,7.08,8.81,10.21,0.45,0.28,13.06,0.11,0.27,19.37,0.73,0.38
10071,242,40.35,8.29,8.14,10.44,0.53,0.24,12.36,0.15,0.15,18.55,0.77,0.42
10017,242,40.63,7.85,8.16,10.6,0.49,0.31,12.18,0.09,0.23,19.1,0.8,0.35
10057,242,40.34,8.18,7.93,10.54,0.48,0.23,12.42,0.09,0.22,19.24,0.71,0.36
10049,242,41.56,7.95,7.54,10.93,0.47,0.31,11.51,0.15,0.24,19.21,0.78,0.34
10071,242,47.89,11.29,4.69,10.87,0.8,0.42,5.75,0.16,0.22,17.56,1.22,0.07
10072,242,41.62,8.25,8.06,11.04,0.55,0.26,11.02,0.07,0.17,18.53,0.81,0.4
10069,242,39.15,7.39,8.34,9.8,0.48,0.23,12.75,0.1,0.31,20.57,0.71,0.4
10022,242,40.93,8.01,8.29,11.01,0.48,0.22,11.72,0.1,0.23,18.66,0.7,0.4
10060,242,39.8,7.74,8.17,9.59,0.24,0.36,14.11,0.19,0.26,18.75,0.6,0.52
10085,242,41.66,9.09,7.26,10.51,0.67,0.24,11.53,0.1,0.25,19.15,0.91,0.45
10020,58,39.5,9.57,8.12,11.4,0.41,0.034,10.62,0.131,0.263,19.15,0.444,0.396
10050,58,39.7,10.21,7.95,11.91,0.44,0.052,11.16,0.094,0.262,18.57,0.492,0.363
10057,58,40.67,7.99,7.65,10.75,0.57,0.287,11.35,0.197,0.233,19.4,0.857,0.347
10058,58,41.78,10.44,5.96,12.34,0.48,0.085,9.07,0.132,0.266,18.68,0.565,0.205
10069,58,40.32,7.9,7.77,10.7,0.59,0.286,11.59,0.2,0.236,19.61,0.876,0.364
10072,58,39.81,7.66,8.01,10.4,0.55,0.269,12.27,0.192,0.233,19.41,0.819,0.388
12018,80,43.6,8.28,15.1,8.54,0.26,0.04,2.6,0.07,0.28,20.6,0.3,0.69
12020,80,44.6,8,14.4,8.53,0.23,0.06,2.56,0.08,0.27,20.7,0.29,0.6
12075,80,44.8,7.87,14.4,8.53,0.23,0.07,2.55,0.08,0.27,20.7,0.3,0.6
12021,80,46.5,10.5,7.48,11.3,0.3,0.06,3.51,0.09,0.27,19.4,0.36,0.41
12021,80,46.7,11.1,7.38,11.5,0.3,0.05,3.45,0.09,0.27,19.1,0.35,0.38
12038,80,47.1,12.8,6.8,11.4,0.64,0,3.17,0.17,0.24,17.4,0.64,0.31
12004,"74(T), 76(Maj)",44.3,8.5,10.9,9.85,0.228,0.055,3.25,,0.2615,21.5,0.283,0.708
12020,"74(T), 76(Maj)",42.2,8.4,16.1,8.75,0.2165,0.069,2.85,,0.2565,21.8,0.2855,0.612
12075,"74(T), 76(Maj)",41.1,8,13.9,8.45,0.214,0.1,2.8,,0.257,21.6,0.314,0.622
12051,"74(T), 76(Maj)",47.1,10.3,6.1,12,0.318,0.065,4.9,,0.267,21,0.383,0.307
12063,"74(T), 76(Maj)",42.8,9.1,11.4,10.5,0.277,0.064,5,,0.2745,21.2,0.341,0.41
12018,77/69,40.01,12.09,11.28,10.35,0.5,0.07,2.84,,0.61,21.36,0.568618639,0.7
12004,77/69,40.44,10.96,10.78,10.77,0.3,0.045,4.5,,0.25,24.44,0.341125356,0.72
12063,77/69,41.94,11.53,9.12,12.03,0.59,0.08,4.17,,0.26,21.74,0.672613884,0.45
12065,77/69,38.73,13.98,11.61,9.65,0.4,0.049,4.17,,0.4,22,0.453781961,0.58
12002,84,,8.92,,,0.206,0.252,2.62,,0.27,22,0.458002688,1254
12002,84,,8.09,,,0.216,0.259,2.5,,0.278,21.23,0.474666151,1290
12002,84,,8.48,,,0.213,0.251,2.75,,0.269,20.58,0.463537971,1248
12018,84,,8.67,,,0.204,0.249,2.64,,0.267,20.71,0.452897526,
12018,84,,8.26,,,0.205,0.247,2.74,,0.265,20.84,0.451836296,
12021,84,,11.28,,,0.253,0.252,3.22,,0.27,19.17,0.505181896,
12021,84,,10.45,,,0.245,0.252,3.22,,0.27,19.68,0.497094032,
12038,84,,12.6,,,0.628,0.225,3.19,,0.241,18.14,0.853418329,
12038,84,,12.57,,,0.635,0.229,3.4,,0.245,17.75,0.863772027,
12021,81,,,,11.19,0.274,,4.17,,0.262,18.91,0.273639408,
12052,81,,,,11.19,0.252,,3.84,,0.257,18.91,0.25207177,
12009,81,,,,9.79,0.249,,3.84,,0.27,19.94,0.249375816,
12020,81,,,,7.84,0.2,,3.67,,0.267,20.46,0.199500652,
12063,81,,,,9.93,0.283,,4.84,,0.271,20.07,0.28307525,
12004,78,45.24,8.51,12.53,8.99,0.23,0.07,2.8,0.05,0.28,20.65,0.3,0.68
12033,78,47.31,14.12,8.88,10.65,0.28,0.41,2.65,0.39,0.2,14.58,0.69,0.36
12051,78,45.54,9.95,6.82,11.33,0.31,0.04,4.74,0.07,0.28,20.19,0.35,0.36
12052,78,46.59,10.24,8.14,10.7,0.27,0.067,3.3,0.083,0.258,19.82,0.337,0.537
12065,78,46.87,10.05,7.82,10.73,0.27,0.073,3.34,0.13,0.256,19.76,0.343,0.5
12002,87,44.5,7.8,14.76,,0.21,0.054,,,0.288,22.13,0.264491633,0.96
12004,87,46,8.73,12.42,8.26,0.198,0.049,2.55,,0.257,21.1,0.247541422,0.599
12018,87,45.15,7.97,14.41,6.16,0.193,0.049,2.65,,0.256,21.23,0.242149512,0.545
12020,87,43.86,7.2,15.66,8.12,0.174,0.046,2.64,,0.28,21.1,0.219664018,0.666
12052,87,47.29,10.11,8.46,11.89,0.237,0.067,2.5,,0.281,19.55,0.30470182,0.51
12053,87,47.29,10.18,8.06,9.37,0.264,0.06,3.67,,0.287,20.07,0.324433746,0.509
12063,87,44.72,9.33,8.38,13.01,0.29,0.076,4.67,,0.284,21.48,0.365705163,0.377
12064,87,,,,14.27,0.267,0.081,4.34,,0.294,19.43,0.347607961,0.316
12065,87,46.86,10.34,8.49,10.77,0.243,0.08,3.5,,0.296,19.81,0.322139765,0.52
12004,88,,8.88,13.93,11.19,0.216,0.057,2.67,,0.284,20.58,0.272292749,0.702
12053,88,,11.34,8.13,9.65,0.256,0.06,2.67,,0.284,18.4,0.316345882,0.322
12051,88,,11.15,7.63,10.21,0.324,0.061,3.67,,0.271,20.07,0.384949354,0.234
12021,88,,11.15,7.3,12.73,0.283,0.071,3.84,,0.284,20.07,0.354146861,0.365
12006,71,44.23,7.67,14.67,8.13,0.2,0.05,2.59,0.06,0.29,20.94,0.25,0.91
12012,71,44.17,7.71,14.37,8.47,0.21,0.06,2.64,0.07,0.3,20.69,0.27,0.69
12014,71,45.34,8,13.85,8.63,0.21,0.06,2.68,0.07,0.26,20.33,0.27,0.64
12076,71,44.87,8.1,12.26,9.03,0.21,0.06,2.76,,0.3,20.66,0.27,0.68
12015,71,44.98,8.57,11.88,9.21,0.23,0.06,2.86,0.07,0.29,20.18,0.29,0.68
12011,71,46.63,9.77,8.26,10.63,0.25,0.06,3.29,0.06,0.29,19.53,0.31,0.59
12043,71,46.77,10.09,7.68,10.96,0.27,0.06,3.38,0.07,0.29,19.5,0.33,0.5
12017,71,47.27,10.02,7.63,10.97,0.27,0.09,3.37,0.03,0.29,19.72,0.36,0.52
12055,71,47,10.15,7.46,11.1,0.27,0.07,3.52,0.07,0.29,19.54,0.34,0.47
12007,71,46.42,11.28,5.86,11.52,0.32,0.08,3.9,0.1,0.28,19.05,0.4,0.28
12039,71,46.09,10.52,5.75,11.67,0.29,0.1,4.46,0.11,0.29,20.32,0.39,0.38
12031,71,46.97,12.63,7.13,12.25,0.33,0.05,2.88,0.05,0.26,16.78,0.38,0.35
12005,71,41.56,5.3,19.97,6.31,0.16,0.04,2.76,0.04,0.3,22.27,0.2,0.75
12036,71,43.11,6.16,16.71,7.46,0.18,0.06,3.2,0.02,0.3,21.82,0.24,0.72
12008,71,42.75,7.98,12.33,8.97,0.25,0.05,4.45,0.07,0.3,21.94,0.3,0.61
12016,71,42.78,7.23,12.65,8.42,0.22,0.06,4.02,0.08,0.3,22.64,0.28,0.57
12045,71,42.3,8.06,11.63,9.09,0.26,0.07,4.78,0.09,0.29,22.09,0.33,0.59
12056,71,43.44,8.82,9.3,10.21,0.29,0.07,5.07,0.07,0.29,21.6,0.36,0.48
12054,71,45.86,10.47,6.76,11.93,0.31,0.07,4.63,0.06,0.29,19.51,0.38,0.33
12047,71,45.13,10.1,6.59,11.32,0.31,0.08,5.2,0.08,0.29,20.5,0.39,0.31
12002,"79, 146",43.56,7.87,14.88,8.26,0.23,0.051,2.6,0.11,14.88,21.66,0.281,0.96
12053,"79, 146",46.21,10.14,8.17,11.01,0.26,0.065,3.32,0.14,8.17,19.77,0.325,0.49
12063,"79, 146",43.48,9.27,9.56,10.49,0.31,0.061,5,0.14,9.56,21.26,0.371,0.44
12038,146,46.61,12.45,6.83,11.48,0.67,0.067,3.25,0.12,0.251,17.75,0.737,0.32
12018,72,43.89,8.2,15.54,8.21,0.2,0.05,2.56,0.02,0.25,20.56,0.25,0.66
12020,72,44.45,7.99,14.89,8.53,0.21,0.06,2.54,0.02,0.26,20.65,0.27,0.68
12021,72,46.46,10.55,7.6,11.37,0.35,0.07,3.44,0.01,0.26,19.68,0.42,0.4
12022,72,42.33,9.12,11.58,9.37,0.29,0.07,4.54,0.02,0.26,22.06,0.36,0.6
12038,72,47.05,12.12,7.09,11.46,0.64,0.07,3.22,0.02,0.24,17.91,0.71,0.34
12040,72,43.68,7.35,16.69,7.91,0.16,0.05,2.48,0.02,0.26,20.1,0.21,0.7
12052,72,46.49,10.29,8.44,10.82,0.28,0.07,3.18,0.03,0.27,19.93,0.35,0.55
12064,72,46.19,10.96,6.6,11.84,0.27,0.07,3.83,0.02,0.26,19.83,0.34,0.36
12065,72,46.61,10.58,8.04,11.13,0.34,0.08,3.15,0.21,0.26,19.36,0.42,0.48
12065,72,46.14,10.73,8.05,10.96,0.25,0.07,3.34,0.02,0.26,19.86,0.32,0.47
12009,92,45.57,8.88,11.11,9.65,0.231,,3,,0.275,20.07,0.230504132,0.637
12009,92,45.57,9.45,10.61,9.79,0.222,0.057,3.17,,0.262,20.07,0.279032636,0.617
12021,92,47.07,10.39,8.13,11.05,0.268,,2.67,,0.262,18.78,0.268247499,0.368
12021,92,45.36,11.72,6.97,11.61,0.297,0.069,3.5,,0.257,20.07,0.365217428,0.327
12022,92,43.01,7.94,11.11,9.51,0.255,,4.84,,0.278,21.61,0.254767725,0.532
12022,92,43.43,9.45,9.62,9.93,0.263,0.067,5.17,,0.267,21.23,0.33031339,0.466
12038,92,46.86,14.74,5.97,11.75,0.604,,3,,0.232,16.6,0.603893867,0.348
12038,92,46.22,12.09,7.46,10.63,0.623,0.069,3.34,,0.244,17.75,0.691427954,0.316
12064,92,46,12.85,6.47,11.47,0.272,,0,,0.262,18.53,0.272291431,0.341
12064,92,46,10.39,7.46,11.75,0.286,0.051,3.67,,0.258,18.78,0.336364555,0.39
12065,92,47.29,8.88,8.96,10.49,0.262,,3.34,,0.276,19.3,0.261507612,0.476
12065,92,47.07,10.01,8.29,10.49,0.245,0.067,3.34,,0.249,20.07,0.312789684,0.5
12075,92,45.15,7.18,14.76,8.26,0.183,0.06,2.84,,0.267,20.07,0.243555103,0.684
12075,92,45.36,8.5,12.94,9.23,0.222,0.059,3,,0.269,20.2,0.281441843,0.589
12009,103,45,8.6,11.6,9.4,0.2,0.057,2.9,,,21,0.256616368,0.6
12004,103,44.9,8.3,12.6,9.1,0.2,0.06,2.8,,,21.3,0.260230179,0.6
12022,103,42.4,8.7,11.3,9.3,0.3,0.06,4.9,,,21.7,0.360230179,0.6
12021,104,47.05,10.97,7.08,11.34,0.29,0.08,3.74,0.09,0.25,19.04,0.37,
12022,104,43.2,9.04,10.43,9.56,0.47,0.07,5.16,0.13,0.25,21.44,0.54,
12075,104,45.06,8.92,13.32,8.64,0.3,0.05,2.84,0.16,0.26,20.23,0.35,
12002,105,44.93,8.09,,6.72,,,2.25,,,21.1,0,
12018,105,43.65,6.92,,7.28,,,2.42,,,20.61,0,
12021,105,46,10,,9.93,,,3.5,,,19.17,0,
12021,105,47.07,10.52,,10.49,,,3.54,,,19.17,0,
12040,105,44.93,6.97,,7.84,,,2.3,,,23,0,
12040,105,43.43,6.67,,8.26,,,2.27,,,19.66,0,
12040,105,44.29,7.22,,7.42,,,2.29,,,20.61,0,
12065,105,44.93,9.2,,11.05,,,3.1,,,19.68,0,
12022,107,42.3,8.2,11.9,9,0.23,0.061,4.85,,0.31,21.6,0.291,
12065,107,47.1,9.8,9.2,10.1,0.24,0.063,3.25,,0.26,20,0.303,0.5
12040,108,43.89,7.41,16.1,7.87,0.2,0.04,2.71,0.07,0.26,20.83,0.24,0.7
12064,108,46.41,10.5,6.38,11.71,0.3,0.07,4.14,0.04,0.27,19.95,0.37,0.38
12004,109,44.59,8.02,12.66,9.05,0.2,0.068,2.88,0.08,0.29,22.03,0.268,0.55
12009,109,45.03,8.59,11.55,9.42,0.23,0.064,2.9,0.07,0.28,21.03,0.294,0.55
12018,109,44.21,7.42,15.05,8.25,0.2,0.059,2.62,0.07,0.28,21.73,0.259,0.52
12020,109,44.66,7.31,13.91,8.73,0.21,0.064,2.73,0.08,0.28,21.58,0.274,0.55
12035,109,43.17,8.03,15.49,8.08,0.21,0.054,2.28,0.06,0.29,22.2,0.264,0.49
12038,109,46.56,12.53,6.71,11.62,0.66,0.073,3.31,0.14,0.27,17.99,0.733,0.27
12040,109,44.08,7.18,16.21,8.1,0.19,0.04,2.41,0.06,0.28,21.27,0.23,0.55
12051,109,45.07,9.96,7.21,11.45,0.28,0.08,4.62,0.09,0.28,20.25,0.36,0.26
12052,109,46.13,9.95,8.07,10.89,0.26,0.071,3.35,0.08,0.28,20.7,0.331,0.46
12020,132,44.6,8,14.4,8.53,0.23,0.06,2.56,0.08,0.27,20.7,0.29,0.6
12021,132,46.2,12.5,5.7,11.33,0.29,0.04,3.9,0.08,0.24,19.4,0.33,0.26
12021,132,47.05,10.97,7.08,11.34,0.29,0.07,3.74,0.09,0.28,19.06,0.36,
12064,132,46.41,10.5,6.38,11.71,0.3,0.07,4.14,0.04,0.27,19.95,0.37,0.38
12004,133,45.36,8.28,12.11,,,,,,,19.43,0,
12063,133,43.22,7.99,10.78,,,,,,,20.46,0,
12051,133,45.36,9.66,7.46,,,,,,,18.91,0,
12021,133,46.43,10.47,7.63,,,,,,,18.27,0,
12022,133,41.94,7.63,10.12,,,,,,,19.43,0,
12035,133,46.43,8.22,16.75,,,,,,,20.58,0,
12064,133,47.93,10.32,7.46,,,,,,,19.43,0,
12006,82,,10.6,12.8,9.8,0.409,0.075,3.2,,0.258,20.8,0.484,0.569
12012,82,,8.1,16,8,0.207,0.052,2.7,,0.262,21.4,0.259,0.623
